id|iata|icao|name|city|subd|countryCode|elevation|lat|lon
A00089|LWI|AYLO|Lowai Airstrip|Lowai|Morobe Province|PNG|2900.0|-6.3344|146.6458
A00090|LMI|AYLU|Lumi Airport|Lumi|Sandaun|PNG|1750.0|-3.4768395113|142.041292191
A00091|MYX|AYMC|Menyamya Airport|Menyamya|Morobe|PNG|3880.0|-7.2116666667|146.019361111
A00092|MAG|AYMD|Madang Airport|Madang|Madang|PNG|20.0|-5.2070798874|145.789001465
A00093|HGU|AYMH|Mount Hagen Kagamuga Airport|Mount Hagen|Western Highlands|PNG|5388.0|-5.826789856|144.296005249
A00094|MXK|AYMI|Mindik Airport|Mindik|Morobe|PNG|4200.0|-6.4716666667|147.441138889
A00095|GUV|AYML|Mougulu Airport|Mougulu|Western Province|PNG|825.0|-6.280859|142.420775
A00096|MDU|AYMN|Mendi Airport||Southern Highlands|PNG|5680.0|-6.1477398872|143.6569976807
A00097|MAS|AYMO|Momote Airport||Manus|PNG|12.0|-2.0618898869|147.4239959717
A00098|MXH|AYMR|Moro Airport|Moro|Southern Highlands|PNG|2740.0|-6.3633298874|143.238006592
A00099|MIS|AYMS|Misima Island Airport|Misima Island|Milne Bay|PNG|26.0|-10.6892004013|152.837997437
A00100|GBF|AYNE|Negarbo(Negabo) Airport|Negarbo|Chimbu|PNG|4500.0|-6.567778|144.703058
A00101|MFO|AYNG|Manguna Airport|Manguna|East New Britain|PNG|187.0|-5.577778|151.792333
A00102|UKU|AYNU|Nuku Airport|Nuku|Sandaun|PNG|870.0|-3.676651|142.484334
A00103|LAE|AYNZ|Lae Nadzab Airport|Nadzab|Morobe|PNG|239.0|-6.5698299408|146.725997925
A00104|OGE|AYOG|Ogeranang Airport||Morobe|PNG|5850.0|-6.46675|147.364166667
A00105|OSE|AYOM|Omora Airport|Omora|Morobe|PNG|2540.0|-7.8277777778|147.080638889
A00106|PDI|AYPD|Pindiu Airport|Pindiu|Morobe|PNG|2995.0|-6.4451388889|147.515833333
A00107|POM|AYPY|Port Moresby Jacksons International Airport|Port Moresby|National Capital|PNG|146.0|-9.4433803558|147.2200012207
A00108|KRJ|AYQA|Karawari Airstrip||East Sepik|PNG|70.0|-4.5966666667|143.5225
A00109|RMN|AYRG|Rumginae Airport||Western Province|PNG|160.0|-5.8972222222|141.271666667
A00110|KMR|AYRI|Karimui Airport|Karimui|Chimbu|PNG|3640.0|-6.4921|144.823
A00111|SBE|AYSA|Suabi Airport||Western Province|PNG|465.0|-6.1044444444|142.278333333
A00112|NIS|AYSE|Simberi Airport|Simberi Island|New Ireland|PNG|10.0|-2.6622222222|151.997777778
A00113|SIL|AYSG|Sila Airport|Sila Mission|Northern Province|PNG|2230.0|-9.0735555556|148.38925
A00114|SIM|AYSJ|Simbai Airport|Simbai|Western Highlands|PNG|5804.0|-5.2786111111|144.544722222
A00115|SKC|AYSU|Suki Airport|Suki|Western Province|PNG|24.0|-8.0466|141.7222
